city,year,weekofyear,total_cases
iq,2012,5,87
iq,2012,6,86
iq,2012,7,78
iq,2012,8,67
iq,2012,9,57
iq,2012,10,49
iq,2012,11,43
iq,2012,12,41
iq,2012,13,36
iq,2012,14,29
iq,2012,15,23
iq,2012,16,19
iq,2012,17,17
iq,2012,18,18
iq,2012,19,17
iq,2012,20,20
iq,2012,21,16
iq,2012,22,14
iq,2012,23,15
iq,2012,24,11
iq,2012,25,12
iq,2012,26,7
iq,2012,27,6
iq,2012,28,5
iq,2012,29,3
iq,2012,30,7
iq,2012,31,4
iq,2012,32,5
iq,2012,33,5
iq,2012,34,7
iq,2012,35,4
iq,2012,36,5
iq,2012,37,7
iq,2012,38,7
iq,2012,39,12
iq,2012,40,9
iq,2012,41,13
iq,2012,42,11
iq,2012,43,11
iq,2012,44,10
iq,2012,45,18
iq,2012,46,17
iq,2012,47,29
iq,2012,48,16
iq,2012,49,28
iq,2012,50,29
iq,2012,51,32
iq,2013,1,35
iq,2013,2,39
iq,2013,3,50
iq,2013,4,59
iq,2013,5,68
iq,2013,6,80
iq,2013,7,87
iq,2013,8,86
iq,2013,9,78
iq,2013,10,67
iq,2013,11,57
iq,2013,12,49
iq,2013,13,43
iq,2013,14,41
iq,2013,15,36
iq,2013,16,29
iq,2013,17,23
iq,2013,18,19
iq,2013,19,17
iq,2013,20,18
iq,2013,21,17
iq,2013,22,20
iq,2013,23,16
iq,2013,24,14
iq,2013,25,15
iq,2013,26,11
